"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"Country","Cambodia","Ethiopia","Kenya","Lao PDR","Malawi","Pakistan","Philippines","Uganda","Tanzania","Viet Nam","Zambia"
"ISO","KHM","ETH","KEN","LAO","MWI","PAK","PHL","UGA","TZA","VNM","ZMB"
"PN_All","2.6 (2.4-2.9)","0.9 (0.7-1.0)","2.0 (1.8-2.3)","9.0 (7.8-10.3)","2.6 (2.2-3.1)","1.4 (1.2-1.5)","3.4 (3.1-3.7)","2.2 (1.9-2.6)","1.8 (1.5-2.1)","2.8 (2.4-3.1)","1.4 (1.2-1.5)"
"Delay_All","22.3 (19.8-25.5)","9.0 (7.6-10.5)","18.4 (16.2-20.8)","39.3 (32.9-47.8)","21.8 (18.7-25.5)","13.1 (11.7-14.6)","24.7 (22.0-28.1)","19.3 (16.9-22.1)","16.3 (14.1-18.8)","21.2 (18.4-24.6)","13.4 (11.8-15.1)"
"CDR_All","68% (59%-78%)","87% (81%-93%)","69% (61%-78%)","26% (21%-32%)","63% (55%-73%)","76% (69%-82%)","44% (39%-50%)","63% (56%-72%)","68% (61%-76%)","61% (52%-70%)","79% (72%-86%)"
"Inc_All","334 (288-385)","168 (158-181)","358 (317-403)","553 (438-681)","222 (191-256)","286 (263-312)","1119 (976-1266)","349 (306-396)","305 (274-340)","224 (192-261)","426 (389-467)"
"PN_Sym","0.8 (0.6-1.0)","0.4 (0.3-0.6)","1.0 (0.8-1.1)","4.4 (3.6-5.2)","1.8 (1.4-2.2)","0.8 (0.7-1.0)","1.1 (0.9-1.3)","1.1 (0.9-1.3)","1.1 (0.9-1.4)","1.8 (1.6-2.1)","0.8 (0.7-1.0)"
"Delay_Sym","8.1 (6.7- 9.6)","4.8 (3.7-5.8)"," 9.6 (8.2-11.1)","23.7 (19.8-28.6)","15.8 (13.3-18.8)","8.2 (7.2-9.3)","10.6 (9.2-12.1)","10.6 (8.8-12.5)","11.0 (9.3-13.0)","14.5 (12.6-16.9)","8.5 (7.3- 9.8)"
"CDR_Sym","84% (79%-90%)","92% (88%-95%)","80% (74%-86%)","39% (32%-46%)","69% (61%-78%)","82% (77%-87%)","68% (63%-73%)","76% (69%-82%)","75% (69%-81%)","68% (60%-76%)","84% (79%-89%)"
"Inc_Sym","267 (251-285)","160 (154-168)","308 (287-332)","365 (301-438)","202 (180-228)","264 (249-281)","720 (665-779)","291 (268-318)","276 (254-301)","200 (177-225)","398 (375-424)"
"Pop"," 11.4"," 66.9"," 32.0","  4.9"," 10.5","140.6"," 75.2"," 23.7"," 32.6"," 74.1","  9.9"
"Noti_WHO","247","150","238","138","146","201","488","238","212","136","340"
"CDR_WHO","58% (37%-100%)","69% (51%-98%)","63% (43%-100%)","57% (40%-89%)","48% (33%-76%)","64% (48%-90%)","63% (40%-110%)","65% (43%-110%)","53% (30%-110%)","57% (40%-90%)","58% (41%-90%)"
"Inc_WHO","387 (220-546)","208 (133-283)","385 (194-572)","206 (120-288)","218 (85-361)","351 (225-478)","705 (310-1102)","304 (135-473)","356 (98-617)","219 (127-312)","534 (302-766)"
