"","Variable","Value","Duration","Rate","RR_uni","RR_multi"
"1","Overall","","6.0 (3.9-11.2)","0.80 (0.62-1.04)","",""
"2","Sex","Female","4.9 (3.6-7.0)","1.02 (0.77-1.35)","reference","reference"
"3","Sex","Male","5.9 (4.1- 9.7)","0.63 (0.49-0.80)","0.50 (0.39-0.59)","1.30 (1.23-1.39)"
"4","Age","[15,25)","5.2 (4.4-7.0)","0.48 (0.38-0.59)","reference","reference"
"5","Age","[25,35)","5.0 (4.2-6.6)","0.57 (0.46-0.71)","1.19 (1.05-1.35)","0.72 (0.68-0.76)"
"6","Age","[35,45)","4.5 (3.8-5.8)","0.84 (0.67-1.05)","1.99 (1.66-2.33)","0.88 (0.82-0.93)"
"7","Age","[45,55)","4.2 (3.6-5.3)","1.02 (0.78-1.31)","2.52 (2.02-3.12)","1.16 (1.06-1.26)"
"8","Age","[55,65)","3.5 (2.9-4.4)","1.54 (1.15-2.13)","5.12 (3.58-7.33)","2.39 (2.14-2.65)"
"9","Age","[65,Inf)","2.8 (2.2-3.5)","2.34 (1.66-3.58)","10.28 (6.22-16.87)","18.20 (13.07-26.10)"
"10","HIV","NonHIV","8.6 (4.4-13.4)","0.58 (0.44-0.76)","reference","reference"
"11","HIV","HIV","4.0 (2.5-5.6)","2.17 (1.16-4.31)","3.25 (1.88-6.19)","4.08 (3.85-4.33)"
