"","Variable","Value","Duration","Rate","RR_uni","RR_multi"
"1","Overall","","3.8 (3.0-4.8)","3.00 (2.36-3.77)","",""
"2","Sex","Female","3.4 (2.3-4.7)","3.46 (2.37-5.08)","reference","reference"
"3","Sex","Male","4.4 (3.3-5.8)","2.58 (1.94-3.45)","0.78 (0.50-1.17)","0.58 (0.36-0.91)"
"4","Age","[15,25)","4.8 (2.8-7.5)","2.52 (1.46-4.14)","reference","reference"
"5","Age","[25,35)","4.8 (3.1-6.7)","2.44 (1.66-3.66)","1.02 (0.56-1.75)","1.45 (0.81-2.44)"
"6","Age","[35,45)","3.8 (2.2-5.8)","3.24 (1.94-5.27)","1.37 (0.67-2.51)","1.83 (0.89-3.29)"
"7","Age","[45,55)","5.1 (2.7-8.3)","2.37 (1.30-4.22)","1.04 (0.48-1.88)","1.24 (0.59-2.49)"
"8","Age","[55,Inf)","1.9 (1.1-3.0)","6.46 (3.87-10.40)","2.58 (1.29-4.71)","2.96 (1.55-5.64)"
"9","HIV","NonHIV","4.4 (3.4-5.7)","2.56 (1.97-3.32)","reference","reference"
"10","HIV","HIV","1.4 (0.7-2.5)","9.06 (4.65-17.31)","3.19 (1.62-6.02)","5.44 (2.79-10.15)"
